alpha,xi,sigma,beta,gamma0,threshold_scale,constraint_step_interval,num_seeds,final_total_mean,final_total_std,final_upper_mean,final_upper_std,final_lower_mean,final_lower_std,final_max_constraint_mean,final_max_constraint_std,final_score_mean,final_score_std,tail_mean_total_mean,tail_mean_total_std,tail_mean_upper_mean,tail_mean_upper_std,tail_mean_lower_mean,tail_mean_lower_std,tail_mean_max_constraint_mean,tail_mean_max_constraint_std,tail_score_mean,tail_score_std,best_total_mean,best_total_std,best_upper_mean,best_upper_std,best_lower_mean,best_lower_std,best_max_constraint_mean,best_max_constraint_std,time_mean,time_std,lower_scale,method,status,error
0.001,0.0001,0.01,0.01,300.0,1.0,10,1,0.6016872525215149,0.0,0.1126478835940361,0.0,0.4890393912792206,0.0,17.374675750732422,0.0,17.976363003253937,0.0,0.6016872525215149,0.0,0.1126478835940361,0.0,0.4890393912792206,0.0,17.374675750732422,0.0,17.976363003253937,0.0,0.6016872525215149,0.0,0.1126478835940361,0.0,0.3714917302131653,0.0,12.63648796081543,0.0,165.73939527897164,0.0,1.0,SG,ok,
