alpha,xi,sigma,beta,gamma0,threshold_scale,constraint_step_interval,num_seeds,final_total_mean,final_total_std,final_upper_mean,final_upper_std,final_lower_mean,final_lower_std,final_max_constraint_mean,final_max_constraint_std,final_score_mean,final_score_std,tail_mean_total_mean,tail_mean_total_std,tail_mean_upper_mean,tail_mean_upper_std,tail_mean_lower_mean,tail_mean_lower_std,tail_mean_max_constraint_mean,tail_mean_max_constraint_std,tail_score_mean,tail_score_std,best_total_mean,best_total_std,best_upper_mean,best_upper_std,best_lower_mean,best_lower_std,best_max_constraint_mean,best_max_constraint_std,time_mean,time_std,lower_scale,method,status,error
0.001,0.0001,0.001,0.0001,1000.0,1.0,10,1,0.7117046117782593,0.0,0.32528090476989746,0.0,0.38642367720603943,0.0,11.557129859924316,0.0,12.268834471702576,0.0,0.7117046117782593,0.0,0.32528090476989746,0.0,0.38642367720603943,0.0,11.557129859924316,0.0,12.268834471702576,0.0,0.7117046117782593,0.0,0.32528090476989746,0.0,0.3714917302131653,0.0,11.557129859924316,0.0,424.4356382098049,0.0,1.0,SG,ok,
0.001,0.0001,0.001,0.01,1000.0,1.0,10,1,0.7117046117782593,0.0,0.32528090476989746,0.0,0.38642367720603943,0.0,11.557129859924316,0.0,12.268834471702576,0.0,0.7117046117782593,0.0,0.32528090476989746,0.0,0.38642367720603943,0.0,11.557129859924316,0.0,12.268834471702576,0.0,0.7117046117782593,0.0,0.32528090476989746,0.0,0.3714917302131653,0.0,11.557129859924316,0.0,427.25496879871935,0.0,1.0,SG,ok,
0.001,0.0001,0.001,0.001,1000.0,1.0,10,1,0.7117046117782593,0.0,0.32528090476989746,0.0,0.38642367720603943,0.0,11.557129859924316,0.0,12.268834471702576,0.0,0.7117046117782593,0.0,0.32528090476989746,0.0,0.38642367720603943,0.0,11.557129859924316,0.0,12.268834471702576,0.0,0.7117046117782593,0.0,0.32528090476989746,0.0,0.3714917302131653,0.0,11.557129859924316,0.0,433.323959635105,0.0,1.0,SG,ok,
0.001,0.001,0.001,0.0001,1000.0,1.0,10,1,0.7117046117782593,0.0,0.32528090476989746,0.0,0.38642367720603943,0.0,11.556229591369629,0.0,12.267934203147888,0.0,0.7117046117782593,0.0,0.32528090476989746,0.0,0.38642367720603943,0.0,11.556229591369629,0.0,12.267934203147888,0.0,0.7117046117782593,0.0,0.32528090476989746,0.0,0.3714917302131653,0.0,11.556229591369629,0.0,447.2892906027846,0.0,1.0,SG,ok,
0.001,0.001,0.001,0.001,1000.0,1.0,10,1,0.7117046117782593,0.0,0.32528090476989746,0.0,0.38642367720603943,0.0,11.556229591369629,0.0,12.267934203147888,0.0,0.7117046117782593,0.0,0.32528090476989746,0.0,0.38642367720603943,0.0,11.556229591369629,0.0,12.267934203147888,0.0,0.7117046117782593,0.0,0.32528090476989746,0.0,0.3714917302131653,0.0,11.556229591369629,0.0,445.22827676776797,0.0,1.0,SG,ok,
0.001,0.001,0.001,0.01,1000.0,1.0,10,1,0.7117046117782593,0.0,0.32528090476989746,0.0,0.38642367720603943,0.0,11.556229591369629,0.0,12.267934203147888,0.0,0.7117046117782593,0.0,0.32528090476989746,0.0,0.38642367720603943,0.0,11.556229591369629,0.0,12.267934203147888,0.0,0.7117046117782593,0.0,0.32528090476989746,0.0,0.3714917302131653,0.0,11.556229591369629,0.0,444.1718274871819,0.0,1.0,SG,ok,
0.001,0.0001,0.01,0.0001,1000.0,1.0,10,1,0.7117066979408264,0.0,0.3252831995487213,0.0,0.3864234983921051,0.0,11.557148933410645,0.0,12.268855631351471,0.0,0.7117066979408264,0.0,0.3252831995487213,0.0,0.3864234983921051,0.0,11.557148933410645,0.0,12.268855631351471,0.0,0.7117066979408264,0.0,0.3252831995487213,0.0,0.3714917302131653,0.0,11.557148933410645,0.0,419.07223061006516,0.0,1.0,SG,ok,
0.001,0.0001,0.01,0.001,1000.0,1.0,10,1,0.7117066979408264,0.0,0.3252831995487213,0.0,0.3864234983921051,0.0,11.557148933410645,0.0,12.268855631351471,0.0,0.7117066979408264,0.0,0.3252831995487213,0.0,0.3864234983921051,0.0,11.557148933410645,0.0,12.268855631351471,0.0,0.7117066979408264,0.0,0.3252831995487213,0.0,0.3714917302131653,0.0,11.557148933410645,0.0,427.520710344892,0.0,1.0,SG,ok,
0.001,0.0001,0.01,0.01,1000.0,1.0,10,1,0.7117066979408264,0.0,0.3252831995487213,0.0,0.3864234983921051,0.0,11.557148933410645,0.0,12.268855631351471,0.0,0.7117066979408264,0.0,0.3252831995487213,0.0,0.3864234983921051,0.0,11.557148933410645,0.0,12.268855631351471,0.0,0.7117066979408264,0.0,0.3252831995487213,0.0,0.3714917302131653,0.0,11.557148933410645,0.0,437.8793389429338,0.0,1.0,SG,ok,
0.001,0.001,0.01,0.0001,1000.0,1.0,10,1,0.7117066979408264,0.0,0.3252831995487213,0.0,0.3864234983921051,0.0,11.556248664855957,0.0,12.267955362796783,0.0,0.7117066979408264,0.0,0.3252831995487213,0.0,0.3864234983921051,0.0,11.556248664855957,0.0,12.267955362796783,0.0,0.7117066979408264,0.0,0.3252831995487213,0.0,0.3714917302131653,0.0,11.556248664855957,0.0,440.9808572665788,0.0,1.0,SG,ok,
